model,mode,param,stretch,I1,I2,I3,J,W,P11,P22,P33,sigma11,sigma22,sigma33
ogden,uniaxial,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.15,1.15,1.15,1.15,1.15,1.15
ogden,uniaxial,1.0303030303030303,1.0303030303030303,3.0027008048398427,3.0026475830974113,1.0000000000000004,1.0000000000000002,0.0013358562183768265,1.1748688512794654,1.137513687369989,1.137513687369989,1.2104709376818732,1.1206607010714742,1.1206607010714742
ogden,uniaxial,1.0606060606060606,1.0606060606060606,3.010599501508592,3.0101917130488545,0.9999999999999998,0.9999999999999999,0.005226216617266091,1.198986649759831,1.1253356854535446,1.1253356854535446,1.271652507321033,1.09271030487789,1.09271030487789
ogden,uniaxial,1.0909090909090908,1.0909090909090908,3.0234159779614322,3.0220959595959593,0.9999999999999998,0.9999999999999999,0.011511139066452352,1.222511089016427,1.1134358018441832,1.1134358018441832,1.3336484607451933,1.0660336194320357,1.0660336194320357
ogden,uniaxial,1.121212121212121,1.121212121212121,3.0409004045367682,3.0378953892467404,1.0000000000000004,1.0000000000000002,0.020049591947752694,1.2455790829158748,1.1017873222720518,1.1017873222720518,1.3965583656935563,1.0405282574203796,1.0405282574203796
ogden,uniaxial,1.1515151515151516,1.1515151515151516,3.06282924943212,3.0571854276840416,1.0000000000000002,1.0,0.03071702265303935,1.2683104730546086,1.0903665227734969,1.0903665227734969,1.4604787265477313,1.0161028760792836,1.0161028760792836
ogden,uniaxial,1.1818181818181819,1.1818181818181819,3.0890019071837256,3.0796126949973104,1.0,1.0,0.04340331040102812,1.290811000900065,1.0791522617984286,1.0791522617984286,1.5255039101546224,0.9926757021610177,0.9926757021610177
ogden,uniaxial,1.2121212121212122,1.2121212121212122,3.1192378328741963,3.104867424242424,1.0,1.0,0.05801103401227595,1.313174705174787,1.0681256373971235,1.0681256373971235,1.5917269153633784,0.9701732892858029,0.9701732892858029
ogden,uniaxial,1.2424242424242424,1.2424242424242424,3.1533740957244287,3.132677158257171,1.0000000000000002,1.0,0.07445399928399583,1.335485866942182,1.0572696976958331,1.0572696976958331,1.6592400165039232,0.9485294658494796,0.9485294658494796
ogden,uniaxial,1.2727272727272727,1.2727272727272727,3.1912632821723728,3.1628014842300547,0.9999999999999999,0.9999999999999999,0.09265598149925752,1.3578205964857881,1.0465691952459841,1.0465691952459841,1.7281353046182761,0.9276844400678537,0.9276844400678537
ogden,uniaxial,1.303030303030303,1.303030303030303,3.2327716915454756,3.1950276152547645,0.9999999999999998,0.9999999999999999,0.1125496471386217,1.380248134777582,1.0360103776830418,1.0360103776830418,1.7985051453162435,0.907584035291776,0.907584035291776
ogden,uniaxial,1.3333333333333335,1.3333333333333335,3.2777777777777772,3.229166666666665,0.9999999999999993,0.9999999999999997,0.13407562559157932,1.4028319262244493,1.0255808085836151,1.0255808085836151,1.870442568299267,0.8881790338671967,0.8881790338671967
ogden,uniaxial,1.3636363636363638,1.3636363636363638,3.326170798898072,3.265050505050506,1.0000000000000002,1.0,0.15718170700511452,1.425630507114647,1.0152692135558776,1.0152692135558776,1.9440416006108823,0.8694246118722456,0.8694246118722456
ogden,uniaxial,1.393939393939394,1.393939393939394,3.3778496426717775,3.3025290714326645,0.9999999999999998,0.9999999999999999,0.18182214666944949,1.4486982447802839,1.0050653475087377,1.0050653475087377,2.0193975533300934,0.8512798502864912,0.8512798502864912
ogden,uniaxial,1.4242424242424243,1.4242424242424243,3.4327218021608736,3.3414680988243677,1.0000000000000002,1.0,0.20795705976310663,1.4720859552349708,0.9949598797736615,0.9949598797736615,2.09660726957708,0.8337073107238206,0.8337073107238206
ogden,uniaxial,1.4545454545454546,1.4545454545454546,3.490702479338843,3.3817471590909087,1.0,1.0,0.2355518930415152,1.4958414214098625,0.9849442943344051,0.9849442943344051,2.1757693402325273,0.8166726659271484,0.8166726659271484
ogden,uniaxial,1.4848484848484849,1.4848484848484849,3.5517137984670453,3.423257985940202,1.0000000000000002,1.0,0.26457696229423205,1.5200098297136915,0.9750108028940792,0.9750108028940792,2.2569842926051784,0.8001443768966257,0.8001443768966257
ogden,uniaxial,1.5151515151515151,1.5151515151515151,3.615684113865932,3.4659030303030307,1.0,1.0,0.2950070462227404,1.5446341391866045,0.9651522688888555,0.9651522688888555,2.34035475634334,0.7840934098774596,0.7840934098774596
ogden,uniaxial,1.5454545454545454,1.5454545454545454,3.682547399124939,3.509594212016357,1.0,1.0,0.32682102888717646,1.569755394791927,0.9553621408707339,0.9553621408707339,2.4259856101329778,0.7684929875412095,0.7684929875412095
ogden,uniaxial,1.5757575757575757,1.5757575757575757,3.752242706788161,3.5542518379056833,0.9999999999999998,0.9999999999999999,0.360001584101541,1.595412994225725,0.9456343939349263,0.9456343939349263,2.513984112113264,0.753318369599548,0.753318369599548
ogden,uniaxial,1.606060606060606,1.606060606060606,3.8247136892076856,3.599803661391415,0.9999999999999998,0.9999999999999999,0.3945348961742474,1.6216449159004456,0.9359634780788577,0.9359634780788577,2.6044600164461706,0.7385466588371776,0.7385466588371776
ogden,uniaxial,1.6363636363636362,1.6363636363636362,3.899908172635445,3.64618406285073,0.9999999999999997,0.9999999999999998,0.4304104122349631,1.6484879143767805,0.9263442725514096,0.9263442725514096,2.697525678071096,0.724156629166217,0.724156629166217
