model,mode,param,stretch,I1,I2,I3,J,W,P11,P22,P33,sigma11,sigma22,sigma33
yeoh,uniaxial,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
yeoh,uniaxial,1.0303030303030303,1.0303030303030303,3.0027008048398427,3.0026475830974113,1.0000000000000004,1.0000000000000002,0.0013500378995882733,1.029746951744158,0.9846526391795417,0.9846526391795417,1.060951404827314,0.9700643862018948,0.9700643862018948
yeoh,uniaxial,1.0606060606060606,1.0606060606060606,3.010599501508592,3.0101917130488545,0.9999999999999998,0.9999999999999999,0.005294145191164238,1.058364831007491,0.9689564171746239,0.9689564171746239,1.1225081540988542,0.9408647354833922,0.9408647354833922
yeoh,uniaxial,1.0909090909090908,1.0909090909090908,3.0234159779614322,3.0220959595959593,0.9999999999999998,0.9999999999999999,0.011680701971207642,1.0858360395154227,0.9529747872432749,0.9529747872432749,1.1845484067440977,0.9124038943150405,0.9124038943150405
yeoh,uniaxial,1.121212121212121,1.121212121212121,3.0409004045367682,3.0378953892467404,1.0000000000000004,1.0000000000000002,0.02036724431341215,1.1121530520633496,0.9367698008997832,0.9367698008997832,1.2469594826164825,0.8846856637669742,0.8846856637669742
yeoh,uniaxial,1.1515151515151516,1.1515151515151516,3.06282924943212,3.0571854276840416,1.0000000000000002,1.0,0.031219729180634346,1.1373181223505415,0.9204018316445726,0.9204018316445726,1.3096390499794115,0.8577142903322297,0.8577142903322297
yeoh,uniaxial,1.1818181818181819,1.1818181818181819,3.0890019071837256,3.0796126949973104,1.0,1.0,0.04411193676095955,1.1613430623744128,0.9039294359332312,0.9039294359332312,1.372496346442488,0.8314941452503192,0.8314941452503192
yeoh,uniaxial,1.2121212121212122,1.2121212121212122,3.1192378328741963,3.104867424242424,1.0,1.0,0.05892498622828107,1.1842490825120884,0.8874093081168201,0.8874093081168201,1.435453433347986,0.8060295317847901,0.8060295317847901
yeoh,uniaxial,1.2424242424242424,1.2424242424242424,3.1533740957244287,3.132677158257171,1.0000000000000002,1.0,0.07554694632933752,1.2060666819281312,0.8708962986981323,0.8708962986981323,1.498446483607678,0.7813245785959161,0.7813245785959161
yeoh,uniaxial,1.2727272727272727,1.2727272727272727,3.1912632821723728,3.1628014842300547,0.9999999999999999,0.9999999999999999,0.09387252618209864,1.2268355809206846,0.8544434741921854,0.8544434741921854,1.5614271029899627,0.7573831902622596,0.7573831902622596
yeoh,uniaxial,1.303030303030303,1.303030303030303,3.2327716915454756,3.1950276152547645,0.9999999999999998,0.9999999999999999,0.11380283464859307,1.2466046883788502,0.8381022032462813,0.8381022032462813,1.62436368485729,0.7342090349619081,0.7342090349619081
yeoh,uniaxial,1.3333333333333335,1.3333333333333335,3.2777777777777772,3.229166666666665,0.9999999999999993,0.9999999999999997,0.13524519890260606,1.2654320987654157,0.8219222582213165,0.8219222582213165,1.6872427983538885,0.7118055555555335,0.7118055555555335
yeoh,uniaxial,1.3636363636363638,1.3636363636363638,3.326170798898072,3.265050505050506,1.0000000000000002,1.0,0.15811303454641099,1.2833851140322172,0.8059519246895511,0.8059519246895511,1.7500706100439327,0.6901759946573391,0.6901759946573391
yeoh,uniaxial,1.393939393939394,1.393939393939394,3.3778496426717775,3.3025290714326645,0.9999999999999998,0.9999999999999999,0.18232576097916775,1.3005402866736089,0.7902381136338166,0.7902381136338166,1.8128743389995765,0.669323427309811,0.669323427309811
yeoh,uniaxial,1.4242424242424243,1.4242424242424243,3.4327218021608736,3.3414680988243677,1.0000000000000002,1.0,0.20780875678126257,1.3169834807706693,0.7748264728050056,0.7748264728050056,1.8757037453400442,0.6492507969937795,0.6492507969937795
yeoh,uniaxial,1.4545454545454546,1.4545454545454546,3.490702479338843,3.3817471590909087,1.0,1.0,0.23449335072421656,1.3328099484014382,0.7597614948860253,0.7597614948860253,1.9386326522202737,0.6299609521741172,0.6299609521741172
yeoh,uniaxial,1.4848484848484849,1.4848484848484849,3.5517137984670453,3.423257985940202,1.0000000000000002,1.0,0.26231684469623595,1.3481244192228676,0.7450866209657847,0.7450866209657847,2.0017605012703186,0.6114566816050407,0.6114566816050407
yeoh,uniaxial,1.5151515151515151,1.5151515151515151,3.615684113865932,3.4659030303030307,1.0,1.0,0.29122256538664953,1.3630412013800397,0.7308443384294303,0.7308443384294303,2.0652139414849087,0.5937407473211453,0.5937407473211453
yeoh,uniaxial,1.5454545454545454,1.5454545454545454,3.682547399124939,3.509594212016357,1.0,1.0,0.32115994202636955,1.3776842921880428,0.7170762727979804,0.7170762727979804,2.129148451563339,0.5768159147223294,0.5768159147223294
yeoh,uniaxial,1.5757575757575757,1.5757575757575757,3.752242706788161,3.5542518379056833,0.9999999999999998,0.9999999999999999,0.35208460785714313,1.3921874972709387,0.7038232733469334,0.7038232733469334,2.1937499956996613,0.5606849794852266,0.5606849794852266
yeoh,uniaxial,1.606060606060606,1.606060606060606,3.8247136892076856,3.599803661391415,0.9999999999999998,0.9999999999999999,0.38395852331564323,1.4066945570408464,0.6911254925366528,0.6911254925366528,2.259236712823178,0.5453507912486502,0.5453507912486502
yeoh,uniaxial,1.6363636363636362,1.6363636363636362,3.899908172635445,3.64618406285073,0.9999999999999997,0.9999999999999998,0.4167501191816239,1.4213592795656724,0.6790224594231926,0.6790224594231926,2.3258606392892824,0.5308162741587681,0.5308162741587681
yeoh,uniaxial,1.6666666666666667,1.6666666666666667,3.9777777777777783,3.6933333333333342,1.0000000000000004,1.0000000000000002,0.4504344581618658,1.4363456790123457,0.6675531473054158,0.6675531473054158,2.3939094650205757,0.5170844444444443,0.5170844444444443
yeoh,uniaxial,1.696969696969697,1.696969696969697,4.058277581004854,3.741197047000621,1.0000000000000002,1.0,0.4849934135708898,1.4518281189685691,0.6567560359169654,0.6567560359169654,2.463708323098178,0.5041584252413176,0.5041584252413176
yeoh,uniaxial,1.7272727272727273,1.7272727272727273,4.14136581122227,3.7897255099471163,1.0,1.0,0.5204158639312519,1.4679914600442032,0.6466691685004142,0.6466691685004142,2.5356216128036237,0.49204145890678275,0.49204145890678275
yeoh,uniaxial,1.7575757575757576,1.7575757575757576,4.227003578100756,3.8388732749612657,1.0,1.0,0.5566979024552802,1.4850312112354542,0.6373302041106751,0.6373302041106751,2.610054856110798,0.48073691707354627,0.48073691707354627
yeoh,uniaxial,1.7878787878787878,1.7878787878787878,4.315154627943534,3.8885987133617155,1.0,1.0,0.5938430604901506,1.503153684605663,0.6287764654950364,0.6287764654950364,2.6874565876283065,0.4702483086858855,0.4702483086858855
yeoh,uniaxial,1.8181818181818183,1.8181818181818183,4.405785123966942,3.9388636363636342,0.9999999999999996,0.9999999999999998,0.6318625441122265,1.5225761528956605,0.6210449828875876,0.6210449828875876,2.768320277992111,0.4605792862509279,0.4605792862509279
yeoh,uniaxial,1.8484848484848486,1.8484848484848486,4.498863448192808,3.989632959533525,1.0000000000000004,1.0000000000000002,0.6707754831470659,1.5435270097275822,0.6141725340420859,0.6141725340420859,2.853186290708561,0.4517336505222806,0.4517336505222806
yeoh,uniaxial,1.878787878787879,1.878787878787879,4.594360022512515,4.040874404818213,1.0,1.0,0.7106091919704843,1.5662459321091253,0.6081956808093743,0.6081956808093743,2.942643872447448,0.4437153538155144,0.4437153538155144
yeoh,uniaxial,1.9090909090909092,1.9090909090909092,4.692247146792602,4.09255823541538,1.0000000000000002,1.0,0.7513994415152234,1.5909840449830888,0.603150802548187,0.603150802548187,3.037333176785897,0.43652850213821703,0.43652850213821703
yeoh,uniaxial,1.9393939393939394,1.9393939393939394,4.7924988521579435,4.144657019412879,1.0000000000000002,1.0,0.7931907419684826,1.618004087597894,0.5990741266357485,0.5990741266357485,3.1379473214019766,0.43017735629738924,0.43017735629738924
yeoh,uniaxial,1.9696969696969697,1.9696969696969697,4.89509076781804,4.1971454186838795,1.0,1.0,0.836036635699058,1.6475805815034918,0.5960017563278425,0.5960017563278425,3.245234478718999,0.42466633213190597,0.42466633213190597
yeoh,uniaxial,2.0,2.0,5.0,4.25,0.9999999999999996,0.9999999999999998,0.88,1.6799999999999888,0.5939696961966684,0.5939696961966684,3.3599999999999786,0.4199999999999778,0.4199999999999778
yeoh,uniaxial,2.0303030303030303,2.0303030303030303,5.107205021723339,4.303199065729695,1.0000000000000004,1.0000000000000002,0.9251533592744559,1.7155609388873636,0.5930138753575792,0.5930138753575792,3.483108572892525,0.4161830836374112,0.4161830836374112
